method ConCaseRatio nmatch exptype beta ncov pfail bias bias.SE MSE MSE.se cover cover.se test.rej test.rej.se
CLR 1 30 binary0.05 0.5 0 0.0061 2.9925801376366 0.111263968240718 131.984702587911 1.79489483554743 0.9971 0.000539382698594247 0.0055 0.00074184366638441
CLR 4 30 binary0.05 0.5 0 0 -1.52369225659549 0.0564416254945874 34.175023320434 1.03447856714402 0.9775 0.00148302899499639 0.0837 0.00276937375592389
CLR 1 40 binary0.05 0.5 0 0.0023 2.26797999211484 0.0871073600777629 80.8385504294862 1.5059457466751 0.9914 0.000924429288735873 0.0221 0.0014717816157931
CLR 4 40 binary0.05 0.5 0 0 -0.869559313164972 0.0408588536061054 17.4489231332455 0.751865646720248 0.9687 0.00174127281033157 0.1038 0.00305000918031405
CLR 1 50 binary0.05 0.5 0 0.001 1.5928842211442 0.0708023806339672 52.6119084282019 1.27507102564395 0.9877 0.0011027633867186 0.0423 0.00201373437327919
CLR 4 50 binary0.05 0.5 0 0 -0.394494511060071 0.0266266938845577 7.24472521064866 0.482600800325375 0.9618 0.00191678793819243 0.1213 0.00326475588673947
CLR 1 10 binary0.1 0.5 0 0.0311 4.18071700726929 0.151789329024956 240.689918626698 2.12446795976524 0.9999 0.000101587156960329 3e-04 0.000175936519200297
CLR 4 10 binary0.1 0.5 0 0 -2.58421381325713 0.0954647875223661 97.804304073874 1.67150641409772 0.9896 0.00101448706250992 0.0401 0.00196193756271702
CLR 1 20 binary0.1 0.5 0 0.0051 2.67489252908251 0.0992316929496991 105.112298596716 1.76176903170529 0.9962 0.000616844009709755 0.0124 0.00110946004801911
CLR 4 20 binary0.1 0.5 0 0 -0.750037558507568 0.0418613791434748 18.0845546020458 0.797897271277101 0.9673 0.00177850245993645 0.0907 0.00287182015453614
CLR 1 30 binary0.1 0.5 0 8e-04 1.44417604770685 0.0655173751499328 44.9722761841213 1.24632516207828 0.9819 0.00133366484903203 0.0543 0.00226699413539778
CLR 4 30 binary0.1 0.5 0 0 -0.201945922903349 0.0192221270587198 3.73531435222431 0.350548379146493 0.9548 0.00207742532958468 0.121 0.00326127275768219
CLR 1 40 binary0.1 0.5 0 2e-04 0.830887736372883 0.044483349476754 20.4721219320236 0.85531211857457 0.966 0.00181247262362836 0.1066 0.00308634883151953
CLR 4 40 binary0.1 0.5 0 0 -0.0879215054842579 0.0102597672097943 1.06025316029513 0.162808714087616 0.9491 0.00219793516737869 0.1407 0.00347711820334023
CLR 1 50 binary0.1 0.5 0 0 0.399908366492848 0.0296940816855541 8.9764298345874 0.569144273710424 0.9589 0.00198521510169553 0.1289 0.00335089226923218
CLR 4 50 binary0.1 0.5 0 0 -0.0370238449787499 0.00631732299229997 0.40041655441764 0.0676658384711953 0.9492 0.00219589070766284 0.1773 0.00381922387403514
CLR 1 10 binary0.2 0.5 0 0.0167 3.25843808176983 0.119411637216418 150.813274390532 2.08914103102272 0.9985 0.000390280312940019 0.0022 0.000472487224979404
CLR 4 10 binary0.2 0.5 0 0 -0.535488650454725 0.0496974449035229 24.9826385581228 0.976487191854335 0.9732 0.00161498482965011 0.072 0.00258487910742456
CLR 1 20 binary0.2 0.5 0 3e-04 1.30029260372789 0.0590983091602832 36.6028918707703 1.17601976433962 0.9783 0.00145723987881863 0.0678 0.00251440105468462
CLR 4 20 binary0.2 0.5 0 0 -0.047647980516931 0.0113590162573103 1.2924138061354 0.183389776523581 0.9455 0.00227001651976368 0.1318 0.00338273203195287
CLR 1 30 binary0.2 0.5 0 0 0.446973263309956 0.0311979853930896 9.93195470969584 0.621857378483025 0.9567 0.00203531594598971 0.1262 0.00332074630166172
CLR 4 30 binary0.2 0.5 0 0 -0.0182913620469147 0.00538772688453162 0.290581556147598 0.00457792566437556 0.9498 0.00218357413430367 0.1663 0.00372349714650085
CLR 1 40 binary0.2 0.5 0 0 0.156830574580127 0.0166850818979915 2.808237016592 0.314272464706893 0.9457 0.00226608715631151 0.1641 0.00370366291662727
CLR 4 40 binary0.2 0.5 0 0 -0.0114992482640453 0.0045740399834819 0.209329728573778 0.00321214724117184 0.948 0.00222027025382047 0.2031 0.00402306338503385
CLR 1 50 binary0.2 0.5 0 0 0.063483383168218 0.00899081187095552 0.812296286229559 0.140927808859695 0.9391 0.00239146795922504 0.1769 0.00381584053650044
CLR 4 50 binary0.2 0.5 0 0 -0.0138292768505164 0.0040009315081012 0.160249770770444 0.00248161356005842 0.9522 0.00213342822705616 0.2407 0.00427508491143743
