method ConCaseRatio nmatch exptype beta ncov pfail bias bias.SE MSE MSE.se cover cover.se test.rej test.rej.se
CLR 1 30 binary0.05 1 0 0.254 4.09311467342616 0.137818496838823 158.42937180075 4.8255660841671 0.96769436997319 0.00204709878716709 0.0372654155495979 0.00219299103939401
CLR 4 30 binary0.05 1 0 0.0322 0.400872611727812 0.0390386297281201 14.9085882419568 1.36399058673727 0.958152510849349 0.00203544426458957 0.260281049803678 0.0044602770762705
CLR 1 40 binary0.05 1 0 0.1739 2.34463822604737 0.102139304056433 91.6692616087147 3.58319521911298 0.961626921680184 0.00211349057574447 0.110035104708873 0.00344298997017169
CLR 4 40 binary0.05 1 0 0.0097 0.0956540701437241 0.0211008142608071 4.41795937830392 0.704822242024655 0.949813187922852 0.00219396913205876 0.32424517822882 0.00470379028013721
CLR 1 50 binary0.05 1 0 0.1145 1.5234679500745 0.0799571414731926 58.9258557549869 2.81565961692998 0.969057029926595 0.0018401845670217 0.189497459062676 0.00416470844049054
CLR 4 50 binary0.05 1 0 0.0022 0.0219126848536011 0.0136153309877085 1.84998886833424 0.424780323589544 0.94517939466827 0.00227880564279318 0.380837843255161 0.00486127848438019
CLR 1 10 binary0.1 1 0 0.5749 -0.663853233446593 0.00947718017291786 0.82242312768479 0.0153084469554009 0.976005645730416 0.0023471191986692 0.00188191013879087 0.00066472934570348
CLR 4 10 binary0.1 1 0 0.1443 1.74686156487594 0.0835595489863918 62.7912133554187 2.96265675057854 0.9876124810097 0.00119570676258736 0.127965408437537 0.00361120700317002
CLR 1 20 binary0.1 1 0 0.2708 -0.000914953700612071 0.0399881103191116 11.65866685476 1.37092965675873 0.961464618760285 0.00225409986779453 0.0671969281404279 0.0029318811672631
CLR 4 20 binary0.1 1 0 0.0127 0.2437954937871 0.0313851137295324 9.78360663437932 1.08600632064899 0.955636584624734 0.0020722125613394 0.277119416590702 0.0045044543440264
CLR 1 30 binary0.1 1 0 0.1423 0.0318157651789942 0.0246709948195294 5.22086312557775 0.827133526304201 0.969802961408418 0.00184780537016398 0.19750495511251 0.00429875280939459
CLR 4 30 binary0.1 1 0 0.0013 0.011156685041153 0.00975566085159887 0.950521237274176 0.256327056697277 0.944728146590568 0.00228658798059089 0.384099329127866 0.00486698029536725
CLR 1 40 binary0.1 1 0 0.0675 0.0206503856672799 0.0112165899978933 1.17349651179837 0.302512464389401 0.97254691689008 0.00169210154841643 0.312707774798928 0.00480082234219426
CLR 4 40 binary0.1 1 0 1e-04 -0.00497238621261801 0.00751586785235419 0.564794443826012 0.180672789090182 0.945294529452945 0.00227415817028331 0.476647664766477 0.00499479345319485
CLR 1 50 binary0.1 1 0 0.0371 0.0509456135078537 0.00780602115836824 0.589267683311769 0.130523167741051 0.966870910790321 0.00182388899108568 0.392979540969986 0.00497732548297219
CLR 4 50 binary0.1 1 0 0 -0.00350945161860562 0.0048172273711487 0.232045906024561 0.00375943643546392 0.9468 0.00224432083267968 0.5717 0.00494832405971961
CLR 1 10 binary0.2 1 0 0.3816 -0.47006099562281 0.00891167911556216 0.711998986070949 0.0132557335510302 0.964100905562743 0.00236574674764057 0.0158473479948254 0.00158808882777252
CLR 4 10 binary0.2 1 0 0.0349 0.341468372297598 0.037212653323331 13.4797427743269 1.29443426233026 0.966013884571547 0.00184440499853631 0.212102372811108 0.0041612279031934
CLR 1 20 binary0.2 1 0 0.1188 -0.077396478464206 0.00773965712615632 0.53378931348347 0.00809288673829064 0.968679073990014 0.00185553867817007 0.216182478438493 0.00438510993157189
CLR 4 20 binary0.2 1 0 7e-04 0.0113059575959605 0.00906140840199816 0.820562173977366 0.222348428475992 0.946362453717602 0.00225379939642455 0.386670669468628 0.00487157663034636
CLR 1 30 binary0.2 1 0 0.0398 0.0312823173103811 0.00707128281022033 0.481057776005216 0.00664916369682296 0.966777754634451 0.00182892949712078 0.361487190168715 0.0049028703884025
CLR 4 30 binary0.2 1 0 0 0.0337632174202987 0.0080769719828352 0.653449481489204 0.222309261350149 0.9478 0.00222430123859157 0.5445 0.00498015813001957
CLR 1 40 binary0.2 1 0 0.0156 0.0596558235216738 0.00638752982298621 0.405158505328829 0.00618241089060685 0.95581064607883 0.00207137607254918 0.461194636326696 0.00502426197828808
CLR 4 40 binary0.2 1 0 0 0.00653557469503128 0.00438750741369957 0.192525676567976 0.00300404172709608 0.9488 0.00220405444578849 0.6514 0.00476527061141338
CLR 1 50 binary0.2 1 0 0.0043 0.0651454612651841 0.00585701994921132 0.34578135193989 0.00579010944489998 0.945867229085066 0.00226767579758422 0.539419503866627 0.00499518803012992
CLR 4 50 binary0.2 1 0 0 0.00406791539258668 0.00393932801149735 0.155184081452136 0.00234216049970123 0.9453 0.00227393733422889 0.7453 0.00435692448867317
CLR 1 10 continuous 1.5 0 0.1793 0.618436678619655 0.0255072789261332 5.72146213449899 0.466218285219806 0.977092725721945 0.00165143840929389 0.809796515169977 0.00433216480590388
CLR 4 10 continuous 1.5 0 0.009 0.343595708860867 0.0130148797906172 1.79651474505701 0.217874333534068 0.947729566094854 0.00223580251372405 0.976084762865792 0.00153477347622118
CLR 1 20 continuous 1.5 0 0.0339 0.541089163226973 0.020516338061453 4.35886591374629 0.411175724062698 0.9551806231239 0.00210506067375165 0.991615774764517 0.000927667070803719
CLR 4 20 continuous 1.5 0 1e-04 0.13655449136668 0.00554358329268049 0.32589882370983 0.011838801815469 0.940694069406941 0.00236208206083558 0.999899989999 0.00010000499987492
CLR 1 30 continuous 1.5 0 0.0059 0.344316839607717 0.0130796595047644 1.81906436407755 0.203640146369993 0.940750427522382 0.00236790778724345 0.99979881299668 0.000142246383112654
CLR 4 30 continuous 1.5 0 0 0.0775985996105342 0.00401702586606095 0.167370374250735 0.00438279491437829 0.9433 0.00231268480342653 1 0
CLR 1 40 continuous 1.5 0 0.0012 0.234336774369245 0.00874787644433062 0.81917231722482 0.101734236662279 0.941629955947137 0.00234582643923899 1 0
